session_id,timestamp,interaction_id,user_transcript,transcript_confidence,transcript_duration_ms,agent_response,response_length_chars,response_length_words,mic_to_transcript_ms,transcript_to_llm_ms,llm_to_tts_start_ms,tts_synthesis_ms,end_to_end_latency_ms,tts_wav_path,tts_sample_rate,tts_duration_ms,tts_file_size_bytes,reference_transcript,wer_score,mos_score,clarity_score,expressiveness_score,room_name,user_id,error_occurred,error_message
20250707_190244,2025-07-07T19:03:19.177277,20250707_190244_0001,Yeah. Hi.,,450,Hi there! How’s your day going?,31,6,,1.83,,1382.47,332.97,tts_outputs\tts_output_20250707_190317_100703.wav,24000,,,,,,,,playground-m1y4-vR7i,,True,'AudioFrame' object has no attribute 'channels'
20250707_190244,2025-07-07T19:03:25.683097,20250707_190244_0002,It's good.,,500,Glad to hear that! What’s on your mind today?,45,9,,2.47,,1501.22,141.09,tts_outputs\tts_output_20250707_190323_311099.wav,24000,,,,,,,,playground-m1y4-vR7i,,True,'AudioFrame' object has no attribute 'channels'
20250707_190244,2025-07-07T19:03:35.971975,20250707_190244_0003,about you.,,500,"Oh, thanks for asking! I'm here to chat and help you with anything you need. What would you like to know?",105,21,,129.27,,3227.49,234.12,tts_outputs\tts_output_20250707_190331_721502.wav,24000,,,,,,,,playground-m1y4-vR7i,,True,'AudioFrame' object has no attribute 'channels'
20250707_190244,2025-07-07T19:03:45.356288,20250707_190244_0004,I just want to know about,,1250,Just ask away! What are you curious about?,42,8,,1.30,,,3.72,tts_outputs\tts_output_20250707_190343_313102.wav,24000,,,,,,,,playground-m1y4-vR7i,,False,
20250707_190244,2025-07-07T19:03:50.919286,20250707_190244_0005,the is tomorrow morning?,,1200,"Tomorrow morning will be a fresh start! Are you looking for plans, or just curious about the weather?",101,18,,2.06,1040.51,3147.63,309.02,tts_outputs\tts_output_20250707_190346_400566.wav,24000,,,,,,,,playground-m1y4-vR7i,,True,'AudioFrame' object has no attribute 'channels'
20250707_190244,2025-07-07T19:04:05.782235,20250707_190244_0006,Just curious about whether,,1300,Got it! What's your location? I can help you with a general idea of what to expect.,83,17,,3.80,16659.76,2887.59,5479.64,tts_outputs\tts_output_20250707_190402_019905.wav,24000,,,,,,,,playground-m1y4-vR7i,,True,'AudioFrame' object has no attribute 'channels'
20250707_190244,2025-07-07T19:04:18.885161,20250707_190244_0007,It's Bangalore.,,750,"In Bangalore, you can usually expect pleasant weather in the mornings. It might be a bit cool, so maybe a light jacket would be nice. Want more specific details?",161,29,,1.98,26999.99,4809.42,234.73,tts_outputs\tts_output_20250707_190412_360206.wav,24000,,,,,,,,playground-m1y4-vR7i,,True,'AudioFrame' object has no attribute 'channels'
20250707_190244,2025-07-07T19:04:32.760101,20250707_190244_0008,Do you have other information?,,1500,"Sure! I can help with things like upcoming events, local news, or even fun places to visit in Bangalore. What are you interested in?",132,24,,2.26,41126.77,4100.00,209.92,tts_outputs\tts_output_20250707_190426_486824.wav,24000,,,,,,,,playground-m1y4-vR7i,,True,'AudioFrame' object has no attribute 'channels'
20250707_190550,2025-07-07T19:06:00.626523,20250707_190550_0001,Hi.,,150,Hi there! How’s your day going?,31,6,,1.94,,1014.33,254.25,tts_outputs\tts_output_20250707_190558_769328.wav,24000,,,,,,,,playground-nd73-qy7G,,True,'AudioFrame' object has no attribute 'channels_count'
20250707_190550,2025-07-07T19:06:06.057415,20250707_190550_0002,It's good.,,500,Is there anything specific you'd like to talk about?,52,9,,2.55,,1325.65,5.92,tts_outputs\tts_output_20250707_190603_932075.wav,24000,,,,,,,,playground-nd73-qy7G,,True,'AudioFrame' object has no attribute 'channels_count'
20250707_190550,2025-07-07T19:06:12.399018,20250707_190550_0003,No.,,150,"Glad to hear that! If you think of anything, just let me know!",62,13,,61.46,1874.20,2223.37,139.92,tts_outputs\tts_output_20250707_190609_329284.wav,24000,,,,,,,,playground-nd73-qy7G,,True,'AudioFrame' object has no attribute 'channels_count'
20250707_190550,2025-07-07T19:06:18.282854,20250707_190550_0004,Thanks.,,350,You’re welcome!,15,2,,1.28,9541.59,635.91,118.95,tts_outputs\tts_output_20250707_190617_008479.wav,24000,,,,,,,,playground-nd73-qy7G,,True,'AudioFrame' object has no attribute 'channels_count'
20250707_210342,2025-07-07T21:04:37.779383,20250707_210342_0001,"the that model which we used, it was pretty good for these things.",,3300,"It sounds like you're discussing the capabilities of a particular sonic model within Carticia, especially how well it captures sentiments and expressions. It's great to hear that it performs well with elements like speed variations. Do you have any specific examples or features you liked the most?",298,47,,6.14,,,241.64,tts_outputs\tts_output_20250707_210434_253691.wav,24000,,,,,,,,playground-Azq9-8ZlS,,False,
20250707_210342,2025-07-07T21:04:39.807256,20250707_210342_0002,I,,50,It sounds like you're discussing a model in Carticia that captures various sentiments and expressions effectively. That’s great to hear! Are there specific features or results you found particularly impressive?,210,30,,6.55,,,22.92,tts_outputs\tts_output_20250707_210438_066559.wav,24000,,,,,,,,playground-Azq9-8ZlS,,False,
20250707_210342,2025-07-07T21:04:47.135770,20250707_210342_0003,Can you listen to the voice?,,1400,"I can't listen to voice recordings, but I can help you with text or answer questions! What do you need assistance with?",119,22,,19.41,,3619.76,463.85,tts_outputs\tts_output_20250707_210442_005404.wav,24000,6130.00,294284,,,,,,playground-Azq9-8ZlS,,False,
20250707_210342,2025-07-07T21:04:57.237774,20250707_210342_0004,Mhmm.,,250,Is there something specific on your mind? I'm here to help!,59,11,,6.00,,2647.61,537.63,tts_outputs\tts_output_20250707_210453_512790.wav,24000,3157.88,151622,,,,,,playground-Azq9-8ZlS,,False,
20250707_210532,2025-07-07T21:05:50.890253,20250707_210532_0001,This is like,,600,What’s on your mind? Let’s chat about it!,41,8,,3.13,,1811.51,5543.51,tts_outputs\tts_output_20250707_210547_843422.wav,24000,2600.58,124872,,,,,,playground-xToa-wFna,,False,
20250707_210532,2025-07-07T21:05:56.383903,20250707_210532_0002,"Oh, I can make a call like",,1300,What’s on your mind? Let’s chat about it!,41,8,,4.21,,,13.74,tts_outputs\tts_output_20250707_210554_207261.wav,24000,,,,,,,,playground-xToa-wFna,,False,
20250707_211300,2025-07-07T21:13:18.903656,20250707_211300_0001,Okay.,,250,Hi there! How can I help you today?,35,8,,4.22,,1799.45,247.00,tts_outputs\tts_output_20250707_211316_439266.wav,24000,2739.92,131560,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:13:39.571639,20250707_211300_0002,A hi,,200,Hi there! How can I help you today?,35,8,,5.96,,1302.94,26.78,tts_outputs\tts_output_20250707_211337_341906.wav,24000,2275.54,109270,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:13:47.454257,20250707_211300_0003,Hey. I want to book an appointment.,,1750,Sure! What type of appointment do you want to book?,51,10,,4.78,3398.66,1906.05,289.68,tts_outputs\tts_output_20250707_211344_303388.wav,24000,3390.08,162768,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:13:59.096377,20250707_211300_0004,Appointment for tomorrow with doctor Smith for a regular checkup.,,3250,Got it! What time works best for you tomorrow?,46,9,,37.47,15280.56,1452.11,370.01,tts_outputs\tts_output_20250707_211356_184515.wav,24000,2554.17,122644,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:14:11.782239,20250707_211300_0005,Eleven AM in the morning.,,1250,Perfect! I’ll book you for 11 AM tomorrow with Dr. Smith. Can you please provide your name and any contact details?,115,21,,5.31,25178.31,4186.99,414.01,tts_outputs\tts_output_20250707_211406_082072.wav,24000,6873.04,329950,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:14:22.281640,20250707_211300_0006,My name is Samad.,,850,"Thanks, Samad! I just need a contact number to finalize the appointment. What’s your phone number?",98,16,,2.14,37153.63,3223.20,297.67,tts_outputs\tts_output_20250707_211418_058208.wav,24000,5294.12,254162,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:14:35.718811,20250707_211300_0007,I it's double seven nine four seven three eight one zero one.,,3050,"Thank you, Samad! Just to confirm, your appointment with Dr. Smith is set for 11 AM tomorrow. Is there anything else you need?",126,23,,3.97,49102.13,4414.07,552.26,tts_outputs\tts_output_20250707_211430_006220.wav,24000,7616.08,365616,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:14:51.321453,20250707_211300_0008,do you accept the online payment?,,1650,"Yes, we do accept online payments! You can pay through our website or app. Would you like more details on how to do that?",121,24,,4.57,64397.45,4765.18,531.93,tts_outputs\tts_output_20250707_211445_301553.wav,24000,7523.21,361158,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:15:03.450308,20250707_211300_0009,Is there parking facility available?,,1800,"Yes, there is parking available for patients. It should be convenient for you when you arrive. Anything else you'd like to know?",128,22,,3.90,77503.69,3870.72,476.07,tts_outputs\tts_output_20250707_211458_408291.wav,24000,7337.46,352242,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:15:23.625967,20250707_211300_0010,Can you explain me about the insurance policy?,,2300,"Sure! We accept various insurance plans, but coverage can vary. It’s best to check with your provider or our office directly to confirm your specific benefits. Would you like help with anything else?",199,33,,9.82,92692.07,8762.85,1044.22,tts_outputs\tts_output_20250707_211513_596485.wav,24000,12074.33,579612,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:15:35.453235,20250707_211300_0011,what shall I ask?,,850,"You could ask about the doctor’s availability for future appointments, services offered at the clinic, or any specific preparations needed for your checkup. Anything in particular on your mind?",193,29,,7.78,113431.48,,338.11,tts_outputs\tts_output_20250707_211534_335450.wav,24000,,,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:15:42.812675,20250707_211300_0012,Do you accept online payment?,,1450,"Yes, we do accept online payments! You can pay through our website or app. Would you like the steps for that?",109,21,,4.68,116221.38,4537.75,352.40,tts_outputs\tts_output_20250707_211537_126775.wav,24000,6965.96,334410,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:16:07.365733,20250707_211300_0013,Possible.,,450,"Absolutely! Here are some simple steps:

1. Visit our website or open the app.
2. Log in to your account or create one if needed.
3. Go to the “Payments” section.
4. Select your upcoming appointment.
5. Enter your payment details and confirm.

And you’re all set! Do you need help with anything else?",300,54,,8.11,132201.57,12221.10,1724.39,tts_outputs\tts_output_20250707_211553_143708.wav,24000,23545.00,1130204,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:16:21.976419,20250707_211300_0014,Set up.,,350,"Great! If you have any questions during the payment process or need further assistance, feel free to ask. Anything else on your mind?",133,23,,7.97,155263.90,4646.37,502.89,tts_outputs\tts_output_20250707_211616_167965.wav,24000,8219.83,394596,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:16:40.355146,20250707_211300_0015,Good with it.,,650,"Awesome! I'm glad I could help. Have a great day, and see you at your appointment tomorrow, Samad!",98,18,,10.10,173423.25,4598.78,1121.57,tts_outputs\tts_output_20250707_211634_327849.wav,24000,6873.08,329952,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:16:53.202074,20250707_211300_0016,"Thank you so much, Sarah. Have a good day.",,2100,"You’re welcome! Just a quick note, my name is Shabana, not Sarah. But no worries! Have a wonderful day!",103,19,,9.66,186746.52,4254.42,392.40,tts_outputs\tts_output_20250707_211647_650078.wav,24000,7662.54,367846,,,,,,playground-Zk7u-Ocs0,,False,
20250707_211300,2025-07-07T21:17:03.498756,20250707_211300_0017,Thanks.,,350,You're welcome! Take care!,26,4,,6.15,200092.79,1501.20,440.32,tts_outputs\tts_output_20250707_211700_996701.wav,24000,1950.46,93666,,,,,,playground-Zk7u-Ocs0,,False,
20250707_213849,2025-07-07T21:39:07.576086,20250707_213849_0001,यह hi.,,300,हैलो! कैसे हो?,14,3,,2.11,,990.27,300.56,tts_outputs\tts_output_20250707_213905_452989.wav,24000,1300.29,62458,,,,,,playground-PZGS-6e6D,,False,
20250707_213849,2025-07-07T21:39:15.396385,20250707_213849_0002,Hi.,,150,Hello! How's your day going?,28,5,,1.55,,1314.82,7.57,tts_outputs\tts_output_20250707_213911_852320.wav,24000,2321.96,111498,,,,,,playground-PZGS-6e6D,,False,
20250707_213849,2025-07-07T21:39:25.641179,20250707_213849_0003,Hey. Can you book an appointment?,,1650,"I can’t book appointments directly, but I can help you with tips on how to do it! What kind of appointment do you need?",119,24,,1.46,,3974.10,188.88,tts_outputs\tts_output_20250707_213919_990717.wav,24000,6269.33,300972,,,,,,playground-PZGS-6e6D,,False,
20250707_213849,2025-07-07T21:39:32.876611,20250707_213849_0004,Doctors appointment?,,1000,Got it! Do you have a specific doctor or clinic in mind?,56,12,,1.51,,,141.44,tts_outputs\tts_output_20250707_213931_419339.wav,24000,,,,,,,,playground-PZGS-6e6D,,False,
20250707_213849,2025-07-07T21:40:02.948141,20250707_213849_0005,Are you there?,,700,"Yes, I'm here! For a doctor's appointment, you might want to check their website or call their office. Need help with that?",123,22,,1.25,,4220.17,145.51,tts_outputs\tts_output_20250707_213957_762247.wav,24000,6873.04,329950,,,,,,playground-PZGS-6e6D,,False,
20250707_213849,2025-07-07T21:40:13.562872,20250707_213849_0006,Yes.,,200,Great! Which doctor are you looking to book an appointment with?,64,11,,1.46,,2153.13,123.65,tts_outputs\tts_output_20250707_214009_986407.wav,24000,4040.25,193976,,,,,,playground-PZGS-6e6D,,False,
20250707_213849,2025-07-07T21:40:21.770457,20250707_213849_0007,Doctor Smith?,,650,Got it! Do you have their contact number or website?,52,10,,2.15,,1739.04,118.29,tts_outputs\tts_output_20250707_214019_077307.wav,24000,3111.46,149394,,,,,,playground-PZGS-6e6D,,False,
20250707_213849,2025-07-07T21:40:34.153929,20250707_213849_0008,No.,,150,"No problem! You could try searching online for ""Doctor Smith near me"" or check local directories. Would you like tips on searching?",131,22,,2.12,,4198.76,176.66,tts_outputs\tts_output_20250707_214026_646843.wav,24000,7801.88,374534,,,,,,playground-PZGS-6e6D,,False,
20250707_214525,2025-07-07T21:45:40.993657,20250707_214525_0001,Hey. Hi.,,400,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your health assistant. How can I help you today?",104,17,,4.93,,4214.07,329.93,tts_outputs\tts_output_20250707_214535_587519.wav,24000,6687.33,321036,,,,,,playground-Hd7t-FkmV,,False,
20250707_214525,2025-07-07T21:45:51.524926,20250707_214525_0002,Hey. Can you book an appointment for me tomorrow?,,2450,I'd be so happy to help you with that! Could you please share your name with me?,80,17,,2.58,,2605.36,139.73,tts_outputs\tts_output_20250707_214546_955298.wav,24000,4133.12,198434,,,,,,playground-Hd7t-FkmV,,False,
20250707_214525,2025-07-07T21:46:01.540902,20250707_214525_0003,Yes. My name is Samant.,,1150,"Thank you, Samant! What brings you in tomorrow? Is this for a check-up, or something specific?",94,16,,4.54,,4048.68,196.68,tts_outputs\tts_output_20250707_214556_379523.wav,24000,6269.33,300972,,,,,,playground-Hd7t-FkmV,,False,
20250707_214525,2025-07-07T21:46:12.674485,20250707_214525_0004,Just for an regular checkup.,,1400,"Perfect! Do you have a preference for which doctor you'd like to see, or would you like me to schedule you with whoever is available?",133,25,,1.46,,3573.28,198.81,tts_outputs\tts_output_20250707_214608_054346.wav,24000,6780.21,325494,,,,,,playground-Hd7t-FkmV,,False,
20250707_214525,2025-07-07T21:46:24.846167,20250707_214525_0005,I'll just schedule it for whatever it is available.,,2550,Wonderful! What time would work best for you tomorrow?,54,9,,2.17,,1583.22,16.55,tts_outputs\tts_output_20250707_214622_032256.wav,24000,2600.58,124872,,,,,,playground-Hd7t-FkmV,,False,
20250707_214525,2025-07-07T21:46:37.209724,20250707_214525_0006,Morning.,,400,"What time in the morning works best for you? We have 9 AM, 10 AM, or 11 AM available.",85,19,,2.37,,4297.90,196.06,tts_outputs\tts_output_20250707_214631_686750.wav,24000,6780.21,325494,,,,,,playground-Hd7t-FkmV,,False,
20250707_222524,2025-07-07T22:25:40.711293,20250707_222524_0001,Yeah. Hi.,,450,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your AI health assistant. How can I help you today?",107,18,,1.84,,4808.75,5676.87,tts_outputs\optimized_tts_20250707_222534_427208.wav,24000,8819.75,423392,,,,,,playground-6FoY-T67Z,,False,
20250707_222524,2025-07-07T22:25:53.558331,20250707_222524_0002,Hey. What's up?,,750,I'm here to assist you with any healthcare needs or questions you may have. How can I help you today?,101,20,,2.24,,3959.60,116.71,tts_outputs\optimized_tts_20250707_222548_160019.wav,24000,7212.38,346238,,,,,,playground-6FoY-T67Z,,False,
20250707_222851,2025-07-07T22:29:03.795871,20250707_222851_0001,Yeah. Hi.,,450,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your health assistant. How can I help you today?",104,17,,567.91,,4953.17,193.61,tts_outputs\optimized_tts_20250707_222857_509242.wav,24000,9191.25,441224,,,,,,playground-wUcP-INZw,,False,
20250707_222851,2025-07-07T22:29:04.301464,20250707_222851_0002,Yeah. Hi.,,450,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your health assistant. How can I help you today?",104,17,,567.91,,,573.74,tts_outputs\optimized_tts_20250707_222857_876279.wav,24000,,,,,,,,playground-wUcP-INZw,,False,
20250707_223228,2025-07-07T22:32:39.693495,20250707_223228_0001,Yeah. Hi.,,450,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your friendly health assistant. How can I help you today?",113,18,,1004.68,,5145.93,728.13,tts_outputs\optimized_tts_20250707_223233_805082.wav,24000,9562.79,459058,,,,,,playground-7uC6-ue1k,,False,
20250707_223228,2025-07-07T22:32:45.340841,20250707_223228_0002,Yeah. Hi.,,450,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your AI health assistant - how can I help you today?",108,19,,1004.68,,4749.66,1508.91,tts_outputs\optimized_tts_20250707_223234_585920.wav,24000,9098.38,436766,,,,,,playground-7uC6-ue1k,,False,
20250707_223910,2025-07-07T22:39:27.807899,20250707_223910_0001,AI.,,150,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your AI health assistant - how can I help you today?",108,19,,,,4631.34,1659.40,tts_outputs\optimized_tts_20250707_223923_153324.wav,24000,8680.46,416706,,,,,,playground-jg8B-N2sk,,False,
20250707_223910,2025-07-07T22:39:31.563182,20250707_223910_0002,AI.,,150,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your friendly health assistant. How can I help you today?",113,18,,3509.31,,5031.91,5013.92,tts_outputs\optimized_tts_20250707_223926_506682.wav,24000,8866.17,425620,,,,,,playground-jg8B-N2sk,,False,
20250707_223910,2025-07-07T22:39:40.922312,20250707_223910_0003,I need an appointment.,,1100,"Oh, I'd be so happy to help you with that! Could you please share your name with me?",84,18,,,2766.04,4118.10,1630.49,tts_outputs\optimized_tts_20250707_223936_775557.wav,24000,7473.00,358748,,,,,,playground-jg8B-N2sk,,False,
20250707_223910,2025-07-07T22:39:44.456943,20250707_223910_0004,I need an appointment.,,1100,I'd be so happy to help you with that! Could you please share your name with me?,80,17,,3506.09,6146.26,4199.85,5010.71,tts_outputs\optimized_tts_20250707_223940_157150.wav,24000,8023.17,385156,,,,,,playground-jg8B-N2sk,,False,
20250707_224516,2025-07-07T22:45:28.108142,20250707_224516_0001,Yeah. Hi.,,450,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your AI health assistant - how can I help you today?",108,19,,,,2908.28,3136.67,tts_outputs\optimized_tts_20250707_224525_148838.wav,24000,5108.38,245246,,,,,,playground-qiRJ-uPgR,,False,
20250707_224516,2025-07-07T22:45:33.074913,20250707_224516_0002,Yeah. Hi.,,450,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your AI health assistant - how can I help you today?",108,19,,8005.66,,,11010.46,tts_outputs\optimized_tts_20250707_224533_023539.wav,24000,,,,,,,,playground-qiRJ-uPgR,,False,
20250707_224516,2025-07-07T22:45:39.714217,20250707_224516_0003,Hi. Can you book an appointment for me?,,1950,I'd be so happy to help you with that! Could you please share your name with me?,80,17,,,,2026.74,3205.77,tts_outputs\optimized_tts_20250707_224537_649737.wav,24000,3018.54,144934,,,,,,playground-qiRJ-uPgR,,False,
20250707_225155,2025-07-07T22:52:47.943334,20250707_225155_0001,Hey. Hi.,,400,"Hello! You've reached Harmony Health Clinic. I'm Sarah, your health assistant - how can I help you today?",105,18,,,,3256.59,4099.55,tts_outputs\optimized_tts_20250707_225244_668038.wav,24000,5712.08,274224,,,,,,playground-gceJ-ZkPY,,False,
20250707_225155,2025-07-07T22:53:02.656576,20250707_225155_0002,"Hey. How are you, Mike?",,1150,"I’m so glad you reached out! I'm actually Sarah, your health assistant here at Harmony Health Clinic. How can I assist you today?",129,23,,,,3162.11,4063.10,tts_outputs\optimized_tts_20250707_225259_473763.wav,24000,5572.75,267536,,,,,,playground-gceJ-ZkPY,,False,
20250707_225155,2025-07-07T22:53:15.942564,20250707_225155_0003,"Hey. How are you, Mike?",,1150,"I’m so glad you reached out! I'm actually Sarah, your health assistant here at Harmony Health Clinic. How can I assist you today?",129,23,,13509.69,,2993.13,17513.74,tts_outputs\optimized_tts_20250707_225312_925328.wav,24000,5294.08,254160,,,,,,playground-gceJ-ZkPY,,False,
20250707_225747,2025-07-07T22:58:30.932271,20250707_225747_0001,Hey. How are you doing?,,1150,"Hello! I'm doing wonderfully, thank you for asking! How can I help you today?",77,14,,,,2211.74,4038.80,tts_outputs\optimized_tts_20250707_225828_696517.wav,24000,3808.00,182828,,,,,,playground-Xz89-LfxD,,False,
20250707_225747,2025-07-07T22:58:44.157875,20250707_225747_0002,Hey. Can you tell me a sad story?,,1650,"I'm here to assist you with healthcare questions and appointments. If there's anything related to your health or scheduling that I can help you with, please let me know!",169,29,,1356.95,,3249.39,4073.51,tts_outputs\optimized_tts_20250707_225840_888740.wav,24000,5897.83,283140,,,,,,playground-Xz89-LfxD,,False,
20250707_225747,2025-07-07T22:58:46.489427,20250707_225747_0003,Hey. Can you tell me a sad story?,,1650,"I'm specifically here to assist with healthcare appointments and clinic questions. If there's anything related to your health or scheduling an appointment that I can help you with today, please let me know!",206,33,,1356.95,,4296.45,5359.05,tts_outputs\optimized_tts_20250707_225842_173567.wav,24000,7337.46,352242,,,,,,playground-Xz89-LfxD,,False,
20250707_225747,2025-07-07T22:58:57.664003,20250707_225747_0004,Hey. Can you tell me a sad story?,,1650,"I'm here to assist you with healthcare questions and appointments. If there's anything related to your health or scheduling that I can help you with, please let me know!",169,29,,13507.96,,3314.64,17511.94,tts_outputs\optimized_tts_20250707_225854_327239.wav,24000,5990.71,287598,,,,,,playground-Xz89-LfxD,,False,
